objectid,eser_adi,muellif_adi,cild_adedi,sayfa_no,ilave_notlar,kaynak
haltercemesi_0022,Câmiu'l-Maârif,,,182,Yazma. Meşâyih ve sairenin menkıbelerinden bahsetmektedir.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0023,Menâkıb-ı Şeyh İbrahim Gülşenî,Salâhaddin Mevlevî,,182,Yazma.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0024,Ebû Ubeydetü'bnü'l-Cerrah,İbrahim Rıf'at Efendi,,182,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0025,Menâkıb-ı Şeyh İbrahim Gülşenî,Sirozlu Şeyh İlhamî,,182,Yazma.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0026,"Muasır Şairlerimiz, Osmanlı Meşâhir-i Üdebâsı, Muallim Naci Efendi",İsmail Hakkı Bey,,182,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0027,Terâcüm-i Ahvâl-i Meşâhîr Tercemesi,Yusuf Bahaeddin Efendi,,182,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0028,Terâcüm-i Ahvâl-i Evliyâ,Salim Saim Bey,,182,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0029,Tufeylî,Ahmed Halis Dede,,183,Yazma.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0030,Mir'âtü't-Turûk,Bandırmalı-Zâde Münib Efendi,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0031,İbn-i Sînâ,Maraşlı Mustafa Kâmil Bey,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0032,Menâkıb-ı Beşiktaşî Yahya Efendi,Mehmed Nûri Efendi,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0033,Menâkıb-ı Veliyyâtün-Nisâ — Hikâye-i Râbia-i Adeviyye,Emine Câvid Hanım,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0034,Muharrir Kadınlar,A'van-zâde Süleyman Bey,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0035,İslâm Hanımları,Nazım Bey,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0036,Ceymis Kok,Hasan Celâleddin Bey,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0037,Menâkıb-ı Ulemâ,Mehmed Çelebi,,183,Yazma.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0038,Plevne Kahramanı Gazi Osman Paşa,Osman Senâî Bey,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0039,Ahvâl-i Mahmud Paşa-i Velî,,,183,Müellif adı kitapta belirtilmemiş.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0040,Mihmandâr-ı Risalet-penâhî - Ebâ Eyyûb Ensarî,İbnü'l-Cemâl: Ahmed Tevfik Bey,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0041,Davit Liyonestori,Mehmed Ekrem Bey,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0042,Mir'ât-ı Muhammediye ve Menâkıb-ı Ahmediye,Yusuf Ziya Yozgadi,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0043,Fransa'nın Asr-ı Hâzır Muharrirleri,Emîn Bey,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
